STID,STtype,LAT,LNG,AGENCY,START_DATE,END_DATE
454219120355601,GW,45.7051257,-120.6000556,USGS,1968-06-19,1968-06-19
452259120274501,GW,45.3829057,-120.4636574,USGS,1975-04-25,1975-04-25
14047800,ST,45.5748503,-120.380324,USGS,1948-06-09,1948-06-09
453806120212801,GW,45.63485038,-120.3589354,USGS,1972-04-03,1981-02-14
453919120212201,GW,45.6551281,-120.357269,USGS,1980-09-20,1985-02-22
453936120211001,GW,45.65985036,-120.3539356,USGS,1980-08-07,1980-08-07
